rank,item_key,centrality,title,authors,year,item_type,source,has_pdf,doi,arxiv_id,opus_rationale,abstract,human_bin,human_note
108,MQ5KZQTX,72,Human and machine: how software engineers perceive and engage with AI-assisted code reviews compared to their peers,A. Alami; N. Ernst,2025,conferencePaper,ieee,no,10.1109/CHASE66643.2025.00016,,"Interview study of how engineers perceive/trust/adopt LLM-assisted code review vs peers, directly on human engagement and over-reliance in oversight.","The integration of artificial intelligence (AI) continues to increase and evolve, including in software engineering (SE). This integration involves processes traditionally entrusted to humans, such as coding. However, the impact on sociotechnical processes like code review remains underexplored. In this interview-based study (20 interviewees), we investigate how software engineers perceive and engage with Large Language Model (LLM)-assisted code reviews compared to human peerled reviews. In this inherently human-centric process, we aim to understand how software engineers navigate the introduction of AI into collaborative workflows. We found that engagement in code review is multi-dimensional, spanning cognitive, emotional, and behavioral dimensions. The introduction of LLM-assisted review impacts some of these attributes. For example, there is less need for emotional regulation and coping mechanisms when dealing with an LLM compared to peers. However, the cognitive load sometimes is higher in dealing with LLM-generated feedback due to its excessive details. Software engineers use a similar sense-making process to evaluate and adopt feedback suggestions from their peers and the LLM. However, the LLM feedback adoption is constrained by trust and lack of context in the review. Our findings contribute to a deeper understanding of how AI tools are impacting SE socio-technical processes and provide insights into the future of AI-human collaboration in SE practices.",,
109,ETHYCZEC,72,Different by design: understanding human-AI collaboration through GitHub pull requests,K. Gonzalez; M. El Mezouar,2025,conferencePaper,ieee,no,10.1109/CASCON66301.2025.00110,,Empirical analysis of AI-authored vs human PR rejection rates and failure modes directly addresses code-review oversight of autonomous coding agents.,"Autonomous Coding Agents (ACAs) such as GitHub Copilot, Claude Code, and Cursor are transitioning from assistive back-pocket tools to active contributor status in collaborative software engineering projects. Their growing foothold raises questions about generated code quality, pull request (PR) acceptance rates and influencing factors, and long-term project impact. Building on the AIDev dataset, we conduct an investigation of how AI-authored PRs compare against human-authored PRs. We take the original descriptive study a step further by augmenting the AIDev dataset, deriving additional structural and linguistic metrics, and performing statistical analyses. We report statistically significant differences in rejection rates across distinct agent types and outline efforts to manually label failure modes in rejected AI PR and to track different maintainability impacts. This project aims to bridge descriptive characterization with predictive and diagnostic insight, laying yet another layer on the foundation for advancing tomorrow's ACAs.",,
110,Y4TIF9KW,72,"Code prism: a multi-agent, multi-LLM, semantic indexing artifact for regulatory code audits — a design science research study",A. N. A. Hadee; M. Riznee,2025,conferencePaper,ieee,no,10.1109/ICEIDT66693.2025.11473608,,"Design-science artifact for auditable, regulation-aligned multi-agent code audits directly targets scalable, governance-linked oversight of code.","Static code review remains essential for identifying vulnerabilities before deployment, yet existing tools frequently fall short of meeting regulatory requirements or producing auditor-ready evidence. This paper presents Code Prism, a design-science research artifact that combines multi-agent, multi-LLM orchestration with retrieval-augmented generation (RAG) and semantic indexing to deliver automated but auditable static code reviews. Developed and refined through iterative testing on a vulnerable open-source repository, the artifact was evaluated against established tools and reviewed by security auditors and UX specialists. The findings indicate that Code Prism can increase vulnerability coverage, shorten the preparation of standards-aligned reports, and provide configurable reporting flows that align with regulatory workflows. While the current evaluation is limited to a single repository and lacks benchmarking against high-end commercial suites, the results demonstrate the practical feasibility of applying agentic, multi-LLM approaches to audit-oriented static code review and point to avenues for broader validation and refinement.",,
111,5RKMGRNA,72,An agentic-AI solution for intelligent code review,T. M. N. Nimraka; M. T. Prabhashana; R. Prainila et al.,2025,conferencePaper,ieee,no,10.1109/SLAAI-ICAI68534.2025.11318443,,"Multi-agent LLM system directly targeting PR-review bottlenecks and scaling review thoroughness/consistency, an operationalizable oversight mechanism.","Manual pull request (PR) reviews are a critical but notoriously time-consuming and inconsistent part of modern software development, creating significant bottlenecks. This paper introduces the Intelligent Code Reviewer (ICR), an agentic AI system designed to automate and enhance this process. ICR accepts GitHub pull requests as input and generates comprehensive, structured reviews as output, seamlessly integrating into developer workflows via a VS Code extension and GitHub App. The system’s core is a multi-agent architecture where specialist Large Language Model (LLM) agents analyze code for different classes of issues-including bugs, security vulnerabilities, and performance inefficiencies-in parallel. This is augmented by semantic duplication detection using Graph Neural Networks (GNNs), graph-based dependency impact analysis, and dynamic PR title validation against custom company rules. Evaluation through extensive unit and integration testing confirms that ICR successfully automates complex review tasks, substantially improving review thoroughness and consistency. This work demonstrates a significant advancement in automated software quality assurance, providing development teams with a unified tool that enhances both productivity and code reliability.",,
112,TNLFBKAF,72,Generative AI vibe coding for prototyping industrial systems,D. De Silva; N. Mills; Z. Issadeen et al.,2025,conferencePaper,"ieee,wos",no,10.1109/ISIE62713.2025.11124737,,"Directly on vibe coding, comparing code quality/risks and offering best practices for adoption, central to the vibe-coding oversight RQ.","Vibe coding is a recent Generative AI innovation where a human operator provides conversational natural language description of a problem and an AI assistant writes the code to develop a solution. It is more than collaborating or assisting with coding, as the entirety of coding and technical implementation is delegated to the AI agent. Vibe coding presents an immediate productivity boost for prototype development, as it addresses the growing complexity of development tools, increased demand for time-efficient prototype development, and the shortage of skills needed to address this demand. This paper presents the role and contribution of vibe coding for prototyping industrial systems. The paper begins with an introduction to vibe coding and vibe coding tools, followed by a workflow comparison of conventional prototyping and vibe coding worked through a sample scenario of an industrial system prototype. A further productivity comparison of the two approaches across diverse dimensions of cognitive load, development speed, code quality, debugging and iteration is also reported. The paper concludes by highlighting the opportunities and risks of vibe coding, and a selection of best practices that can accelerate the adoption of vibe coding for prototyping industrial systems.",,
113,2LXUVY4P,72,A study on spec-driven development utilizing AI and vibe coding,jinsuk; 목일상; 차태준 et al.,2025,journalArticle,wos,no,,,"Proposes a spec-driven Verify→Generate→Operate pipeline with explicit governance/quality standards for vibe coding, an operationalizable oversight framework.","This literature review establishes the concept of Spec-Driven Development (SDD) that integrates AI and Vibe Coding, and proposes both a theoretical foundation and a practical roadmap for transitioning from existing development methodologies (traditional SDLC, Waterfall, Agile) to SDD. The study consolidates recent advances in Model-Driven Engineering (MDE), AI-driven SDLC, generative AI collaboration, testable requirements (e.g., Gherkin), and human-centered workflows to systematize the core components of SDD (Specification  Verification  Generation  Operation loop) along with governance, quality, and sustainability standards. As a result, SDD demonstrates a shift toward “interactive, specification-centered” development, strengthening the semantic alignment between requirements and code, and providing an executable pipeline where AI tools automatically synchronize specification, code, and test artifacts.",,
114,T2EG4BE2,72,"Vibe coding in practice: flow, technical debt, and guidelines for sustainable use",Waseem; Ahmad; Kemell et al.,2025,preprint,arxiv,yes,,2512.11922,"Analyzes flow-vs-technical-debt risks of vibe coding and proposes countermeasures/guidelines for sustainable, oversight-aware use.","Vibe Coding (VC) is a form of software development assisted by generative AI, in which developers describe the intended functionality or logic via natural language prompts, and the AI system generates the corresponding source code. VC can be leveraged for rapid prototyping or developing the Minimum Viable Products (MVPs); however, it may introduce several risks throughout the software development life cycle. Based on our experience from several internally developed MVPs and a review of recent industry reports, this article analyzes the flow-debt tradeoffs associated with VC. The flow-debt trade-off arises when the seamless code generation occurs, leading to the accumulation of technical debt through architectural inconsistencies, security vulnerabilities, and increased maintenance overhead. These issues originate from process-level weaknesses, biases in model training data, a lack of explicit design rationale, and a tendency to prioritize quick code generation over human-driven iterative development. Based on our experiences, we identify and explain how current model, platform, and hardware limitations contribute to these issues, and propose countermeasures to address them, informing research and practice towards more sustainable VC approaches.",,
115,9R6TGN82,72,Training language models to generate quality code with program analysis feedback,Yao; Wang; Liu et al.,2025,preprint,arxiv,yes,,2505.22704,"REAL provides scalable automated supervision (program analysis + tests) for security/maintainability of generated code, a mechanism for oversight at volume.","Code generation with large language models (LLMs), often termed vibe coding, is increasingly adopted in production but fails to ensure code quality, particularly in security (e.g., SQL injection vulnerabilities) and maintainability (e.g., missing type annotations). Existing methods, such as supervised fine-tuning and rule-based post-processing, rely on labor-intensive annotations or brittle heuristics, limiting their scalability and effectiveness. We propose REAL, a reinforcement learning framework that incentivizes LLMs to generate production-quality code using program analysis-guided feedback. Specifically, REAL integrates two automated signals: (1) program analysis detecting security or maintainability defects and (2) unit tests ensuring functional correctness. Unlike prior work, our framework is prompt-agnostic and reference-free, enabling scalable supervision without manual intervention. Experiments across multiple datasets and model scales demonstrate that REAL outperforms state-of-the-art methods in simultaneous assessments of functionality and code quality. Our work bridges the gap between rapid prototyping and production-ready code, enabling LLMs to deliver both speed and quality.",,
116,VJ5WZ2ZE,72,SWE-chat: coding agent interactions from real users in the wild,Baumann; Padmakumar; Li et al.,2026,preprint,arxiv,yes,,2604.20779,Empirical characterization of real vibe-coding sessions showing agent-code security risk and human pushback/oversight in 44% of turns.,"AI coding agents are being adopted at scale, yet we lack empirical evidence on how people actually use them and how much of their output is useful in practice. We present SWE-chat, the first large-scale dataset of real coding agent sessions collected from open-source developers in the wild. The dataset currently contains 6,000 sessions, comprising more than 63,000 user prompts and 355,000 agent tool calls. SWE-chat is a living dataset; our collection pipeline automatically and continually discovers and processes sessions from public repositories. Leveraging SWE-chat, we provide an initial empirical characterization of real-world coding agent usage and failure modes. We find that coding patterns are bimodal: in 41% of sessions, agents author virtually all committed code (""vibe coding""), while in 23%, humans write all code themselves. Despite rapidly improving capabilities, coding agents remain inefficient in natural settings. Just 44% of all agent-produced code survives into user commits, and agent-written code introduces more security vulnerabilities than code authored by humans. Furthermore, users push back against agent outputs -- through corrections, failure reports, and interruptions -- in 44% of all turns. By capturing complete interaction traces with human vs. agent code authorship attribution, SWE-chat provides an empirical foundation for moving beyond curated benchmarks towards an evidence-based understanding of how AI agents perform in real developer workflows.",,
117,MFSZPSPU,72,Towards a human-in-the-loop framework for reliable patch evaluation using an LLM-as-a-judge,Shi; Wei; Tufano et al.,2025,preprint,arxiv,yes,,2511.10865,"Human-in-the-loop LLM-as-judge framework for patch validity with measured agreement, a directly operationalizable oversight mechanism.","Reliable evaluation is crucial for advancing Automated Program Repair (APR), but prevailing benchmarks rely on execution-based evaluation methods (unit test pass@k), which fail to capture true patch validity. Determining validity can require costly manual annotation. To reduce this cost, we introduce a human-in-the-loop approach to LLM-based patch validity judgment. Inspired by the observation that human judgment is better aligned when using a shared rubric, we first employ an LLM to generate a per-bug rubric, followed by a one-time human review and optional refinement to this rubric, and then employ an LLM to judge patches using the refined rubric. We apply this approach to assign binary validity labels to patches for issues found by Google sanitizer tools. Our results show that this approach yields substantial agreement with human consensus (Cohen's kappa 0.75), high recall (0.94) and high precision (0.80), when considering patches that have unanimous agreement from 3 human raters on the validity labels. On the full dataset including patches where human raters disagree, we find this approach can still be further improved (Cohen's kappa 0.57, recall 0.93, precision 0.65) and identify possible future directions.",,
118,BISE8375,72,Human-AI collaboration for scaling agile regression testing: an agentic-AI teammate from manual to automated testing,Outmani; Shenoy; Hatahet et al.,2026,preprint,arxiv,yes,,2603.08190,Industrial case study on scaling agentic test automation with mandatory human review and explicit governance for human-AI teaming.,"Automated regression testing is essential for maintaining rapid, high-quality delivery in Agile and Scrum organizations. Many teams, including Hacon (a Siemens company), face a persistent gap: validated test specifications accumulate faster than they are automated, limiting regression coverage and increasing manual work. This paper reports an exploratory industrial case study of the Hacon Test Automation Copilot, an agentic AI system that generates system-level regression test scripts from validated specifications using retrieval-augmented generation and a multi-agent workflow. Integrated with Hacon's CI pipelines, the Copilot operates asynchronously as a ""silent AI teammate"", producing candidate scripts for human review. Mixed-method evaluation shows the AI accelerates script authoring and increases throughput, with 30-50% code reuse. However, human review remains necessary for maintainability and correct domain interpretation. Clear specifications, explicit governance, and ongoing human-AI collaboration are critical. We conclude with lessons for scaling regression automation and enabling effective human-AI teaming in Agile settings.",,
119,DJMBHHZN,72,"MOSAICO: management, orchestration and supervision of AI-agent COmmunities for reliable AI in software engineering",Tisi; Cabot; Di Ruscio et al.,2025,conferencePaper,scopus,no,,,Framework for orchestration/supervision and governance of AI-agent communities in software engineering with expert human intervention points — on-core.,"The reliable application of LLM-based agents to software engineering requires a tremendous increase in their accuracy and minimisation of their bias. While LLMs continue increasing in size and performance, it seems that phenomena like hallucinations of a single agent are substantially inevitable, since they are linked to the fundamental inference mechanism in generative models. On the other hand, evidence starts accumulating about the possibility of achieving the required performance by collaboration and debate among groups of agents. As it happens among humans, the quality of work can increase with specialisation of workers on tasks, organised collaboration, and discussion among workers with different backgrounds. Differently from humans, the instantiation of multiple required AI agents, and the collaboration and discussion among them, are very fast and cheap, making this approach particularly convenient. The MOSAICO EU project proposes the theoretical and technical framework to implement this approach and to scale it to very large groups of collaborating agents, i.e. AI-agent communities. The proposed solutions rely on an integrated platform, handling communication, orchestration, governance, quality assessment, benchmarking and reuse of AI agents. MOSAICO is integrated with existing software development environments, to present the results to software engineers, and allow expert users to intervene in the AI decisions. The performance and reliability of MOSAICO technologies and tools to achieve given software engineering tasks are assessed within four different use-case scenarios coming from immersive technologies, bank/financing, aerospace and Internet of Things sectors. The long-term adoption of MOSAICO results and technologies will be ensured by open-sourcing the code and fostering an open collaboration to enhance user engagement in the MOSAICO community. © 2025 Copyright for this paper by its authors.",,
120,C76VDWWV,72,An empirical study of generative AI adoption in software engineering,Giray; Demirörs; Kalinowski et al.,2025,preprint,coursework,yes,,2512.23327,"Empirical GenAI-in-SE study covering overreliance, validation overhead, and institutionalization/governance gaps directly on core.","Context. GenAI tools are being increasingly adopted by practitioners in SE, promising support for several SE activities. Despite increasing adoption, we still lack empirical evidence on how GenAI is used in practice, the benefits it provides, the challenges it introduces, and its broader organizational and societal implications. Objective. This study aims to provide an overview of the status of GenAI adoption in SE. It investigates the status of GenAI adoption, associated benefits and challenges, institutionalization of tools and techniques, and anticipated long term impacts on SE professionals and the community. Results. The results indicate a wide adoption of GenAI tools and how they are deeply integrated into daily SE work, particularly for implementation, verification and validation, personal assistance, and maintenance-related tasks. Practitioners report substantial benefits, most notably reduction in cycle time, quality improvements, enhanced support in knowledge work, and productivity gains. However, objective measurement of productivity and quality remains limited in practice. Significant challenges persist, including incorrect or unreliable outputs, prompt engineering difficulties, validation overhead, security and privacy concerns, and risks of overreliance. Institutionalization of tools and techniques seems to be common, but it varies considerably, with a strong focus on tool access and less emphasis on training and governance. Practitioners expect GenAI to redefine rather than replace their roles, while expressing moderate concern about job market contraction and skill shifts.",,
121,2CKL96B8,72,The effect of AI tools on modern software development for frontend engineering: an empirical analysis,Soumyajit Sarkar,2025,journalArticle,ssrn,no,,,Empirical analysis of AI coding tools in software engineering finding governance/security frameworks are required.,"Our findings indicate that successful AI tool adoption requires robust governance frameworks, enhanced security practices, and fundamental shifts in developer / Artificial Intelligence, Software Engineering, Frontend Development, Code Generation, Developer Productivity, Security Vulnerabilities, GitHub Copilot,",,
122,Q8Z3T386,72,The AI productivity paradox in software development: a meta-analysis of implementation outcomes and ROI patterns (2024-2025),Chris Johnson; Teja Yenamandra; Joe Ciskey et al.,2026,journalArticle,ssrn,no,,,Meta-analysis of AI coding tools in orgs linking governance patterns to code quality/technical-debt outcomes.,"Organizations achieving positive outcomes follow distinct patterns: executive-level governance, focused use case selection, and vendor partnerships over / AI Coding Assistants, Developer Productivity, GitHub Copilot, Code Quality, Technical Debt, AI Implementation, Software Engineering, LLM Tools, Enterprise",,
123,EB9D98W5,72,Benchmarking and validation of prompting techniques for AI-assisted industrial PLC programming,Ketut Adnyana; Andreas Schwung,2025,journalArticle,ssrn,no,,,Directly addresses scalable oversight of AI-generated code via LLM-in-the-loop assessment plus human-in-the-loop for safety/quality of generated PLC code.,"Industrial automation in Industry 5.0 demands deterministic and safety-compliant PLC code across heterogeneous vendor ecosystems. / similarity, LLM-in-the-Loop (LITL) provides scalable semantic assessment across functional correctness, readability, safety compliance, and modularity, while Human-in-the-Loop / Industrial AI, deterministic prompt engineering, fixed-prompt validation, human-in-the-loop, LLM-in-the-loop, programmable logic controller (PLC) programming",,
124,AEB37KGC,72,From black box to open book: an emerging transparency imperative in generative ai codebases,Eleanor Adele Watson; Matt Van Itallie,2025,journalArticle,ssrn,no,,,"Empirical transparency strategies for GenAI codebases covering QA, security, and compliance directly address oversight of AI-generated code.","imperative need for transparency in GenAI codebases, presenting empirical evidence for comprehensive strategies addressing quality assurance, security, intellectual / property management, and regulatory compliance. / generative artificial intelligence, code transparency, intellectual property management software, development practices, ai ethics and regulation",,
125,QTJPLBYR,72,Evaluating security and inclusivity in LLM-generated code: a controlled experiment,Bilal Naqvi; Waleed Bin Shahid; Janne Parkkila et al.,2026,journalArticle,ssrn,no,,,Controlled experiment evaluating LLM-code security with both human-expert and LLM-as-judge review—directly a human-in-the-loop oversight mechanism.,"systems and services.Objective: The objectives of this study are two-fold: (i) to evaluate the efficacy of LLM-generated code in implementing security / Moreover, after each round, the LLM-generated code artifact was evaluated against security and inclusivity criteria by both human experts and LLM-based / Controlled Experiment, Empirical Studies, Inclusivity, Large Language Model, LLM, Security, Software engineering, Software Quality",,
126,F4G9XXBR,72,SysTradeBench: an iterative build-test-patch benchmark for strategy-to-code trading systems with drift-aware diagnostics,Cao; Zhang; Keung et al.,2026,preprint,arxiv,yes,,2604.04812,Benchmark treating LLM-generated trading code as governed/auditable software with mandatory audit logs and finding human governance remains essential.,"Large language models (LLMs) are increasingly used as quantitative research copilots to translate natural-language strategy specifications into executable trading code. Yet most existing evaluations either focus on static financial knowledge or summarize performance with a single profitability metric, leaving a gap for benchmarking strategy-to-code trading systems as governed, auditable software. We introduce SysTradeBench (SysTB), an iterative build-test-patch benchmark that evaluates LLM-generated trading systems under drift-aware diagnostics. Given a standardized Base Strategy Doc and frozen semantics, each model must produce (i) a strategy card, (ii) executable code, and (iii) mandatory audit logs. A sandboxed harness runs determinism and anti-leakage checks, detects rule drift across iterations, and returns evidence bundles to support constrained patches. SysTradeBench reports multi-dimensional scorecards for spec fidelity, risk discipline, reliability, and out-of-sample robustness indicators, together with cost-effectiveness signals. We evaluate 17 models across 12 strategies. Top models achieve validity above 91.7 percent with strong aggregate scores, but evidence-driven iteration also induces code convergence by Iter2. These findings suggest that LLM iteration complements rather than replaces human quantitative researcher governance: LLMs excel at rapid prototyping and shallow bug fixes, while human oversight remains essential for critical strategies requiring solution diversity and ensemble robustness.",,
127,735ZR4IY,71,LLMs in coding and their impact on the commercial software engineering landscape,Belozerov; Barclay; Sami,2026,conferencePaper,wos,no,10.1007/978-3-032-07938-1_28,,"Argues with data for tagging/reviewing every AI-generated line and sycophancy tests, concrete org oversight practices for AI code.","Large language model coding tools are now mainstream in software engineering. But as these same tools move human effort up the development stack, they present fresh dangers: 10% of real-world prompts leak private data, 42% of generated snippets hide security flaws, and the models can even ""agree"" with wrong ideas, a trait called sycophancy. We argue that firms must tag and review every AI-generated line of code, keep prompts and outputs within private or on-premises deployments, obey emerging safety regulations, and add tests that catch sycophantic answers - so we can gain speed without losing security and accuracy.",,
128,ZSB2S59N,71,Designing guardrails: ensuring responsible AI behavior,Kumar,2026,journalArticle,scopus,no,10.1007/978-3-032-06418-9_5,,"Comprehensive operationalizable guardrails framework (HITL + policy-as-code in CI/CD, metrics, roles, EU AI Act) for scalable enterprise GenAI oversight, with case studies.","As generative AI rapidly integrates into enterprise ecosystems, the need for robust guardrails has become a critical concern for organizations seeking to leverage this powerful technology responsibly. This chapter provides a comprehensive framework for designing, implementing, and governing AI guardrails to ensure safety, fairness, control, and compliance in high-stakes business environments. The chapter begins by contextualizing the urgent need for responsible AI in enterprise settings, emphasizing risks such as hallucinations, bias, and privacy breaches. It highlights how unguarded generative AI systems can not only produce harmful outputs but also expose organizations to regulatory penalties, reputational damage, and operational inefficiencies. With regulations such as the EU Artificial Intelligence Act imposing strict governance requirements on high-risk AI applications, enterprises must adopt proactive measures to maintain compliance and public trust. The core of the chapter explores a multilayered approach to AI guardrails, encompassing technical, procedural, and human oversight mechanisms. At the technical level, input filtering (e.g., regex and ML classifiers), output validation (e.g., schema enforcement, toxicity detectors), and grounding with enterprise knowledge are emphasized as vital components in limiting model misbehavior. Reinforcement Learning from Human Feedback (RLHF) and constitutional AI techniques are explored as strategies to tune models toward ethical and organizational values. Tools such as Guardrails AI, PromptFoo, and Amazon Bedrock Guardrails provide tangible implementation pathways for enterprises. On the procedural side, the chapter outlines governance frameworks—policies, ethics committees, and compliance programs—that define roles and responsibilities across the AI lifecycle. It stresses the importance of policy-as-code to embed these rules into CI/CD workflows, enabling scalable and automated enforcement. A hybrid architecture combining automated enforcement with human-in-the-loop (HITL) mechanisms is advocated to catch edge cases and ensure nuanced decision-making where AI models fall short. Enterprise case studies provide compelling validation of these approaches. Banks have used real-time guardrails to prevent the leakage of personally identifiable information (PII), while healthcare providers rely on schema validators to filter out unsafe medical advice. These examples demonstrate not only reduced risk exposure and improved regulatory compliance but also tangible business value, such as faster audit readiness and enhanced customer trust. A key innovation discussed in the chapter is knowledge grounding through retrieval-augmented generation (RAG), which ties generative outputs to authoritative corporate sources. This technique significantly reduces hallucination rates and enables auditability—every output can be traced back to verifiable documents. Combined with output classifiers and HITL review, grounding transforms generative AI into a more trustworthy and explainable asset within the enterprise. The chapter also emphasizes measurable impact and continuous improvement as design principles for guardrails. Enterprises are encouraged to monitor metrics such as guardrail trigger counts, hallucination frequency, and fairness indices. Tools like MLflow, Evidently AI, and OpenLineage facilitate comprehensive auditing and traceability across model training and inference. These mechanisms support iterative guardrail refinement, aligning with the National Institute of Standards and Technology (NIST) AI Risk Management Framework’s “Measure” and “Manage” functions. Finally, the chapter outlines governance best practices and organizational structures to support responsible AI. From the Chief AI Ethics Officer to compliance managers and ML engineers, each role has a defined stake in ensuring that generative AI operates within safe, legal, and ethical boundaries. Global regulations, including the EU AI Act, U.S. agency guidelines, and China’s Interim Measures, are discussed to provide readers with an international compliance perspective. In conclusion, this chapter offers enterprise leaders, AI practitioners, and policy advocates a blueprint for operationalizing responsible AI through layered guardrails. It equips organizations with the tools, strategies, and governance models necessary to mitigate risks, maximize business value, and build stakeholder trust in the age of generative AI. As organizations scale AI across functions, these guardrails serve not as constraints but as enablers—empowering safe, innovative, and resilient AI adoption across industries. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",,
129,NB795DM8,71,Between policy and practice: GenAI adoption in agile software development teams,Neumann; Bischof; Hinz et al.,2026,conferencePaper,scopus,yes,10.1007/978-3-032-22375-3_18,,"Empirical multi-case study on GenAI governance and policy-practice gaps in agile software teams, including code assistance and validation effort.","Context: The rapid emergence of generative AI (GenAI) tools has begun to reshape software engineering practice. Yet, their adoption within agile environments remains underexplored. Objective: This study investigates how agile practitioners adopt GenAI tools in real-world organizational contexts, focusing on regulatory conditions, role-specific use cases, benefits, and barriers. Method: An exploratory multiple case study was conducted in three German organizations, involving 17 semi-structured interviews and document analysis. A cross-case thematic analysis was applied to identify GenAI adoption patterns. Results: Findings reveal that GenAI is primarily used for creative tasks, documentation, and code assistance. Benefits include efficiency gains and enhanced creativity, while barriers relate to data privacy, validation effort, and lack of governance. Using the Technology-Organization-Environment (TOE) framework, we find that these barriers stem from misalignments across the three dimensions. Regulatory pressures are often translated into policies without accounting for actual usage patterns or organizational constraints, leading to systematic policy-practice gaps and shadow IT behavior. Conclusion: GenAI offers significant potential to augment agile roles but requires alignment across TOE dimensions, including pragmatic policies, data protection measures, and user training to ensure responsible and effective integration. © The Author(s) 2026.",,
130,6UKF6TT2,71,Self-admitted GenAI usage in open-source software,Xiao; Fan; Calefato et al.,2025,preprint,coursework,yes,10.48550/ARXIV.2507.10422,2507.10422,"Empirically derives GenAI-usage taxonomy, project policies/guidelines, and quality-control practices for AI code in OSS—directly project-level governance.","The widespread adoption of generative AI (GenAI) tools such as GitHub Copilot and ChatGPT is transforming software development. Since generated source code is virtually impossible to distinguish from manually written code, their real-world usage and impact on open-source software development remain poorly understood. In this paper, we introduce the concept of self-admitted GenAI usage, that is, developers explicitly referring to the use of GenAI tools for content creation in software artifacts. Using this concept as a lens to study how GenAI tools are integrated into open-source software projects, we analyze a curated sample of more than 250,000 GitHub repositories, identifying 1,292 such self-admissions across 156 repositories in commit messages, code comments, and project documentation. Using a mixed methods approach, we derive a taxonomy of 32 tasks, 10 content types, and 11 purposes associated with GenAI usage based on 1,292 qualitatively coded mentions. We then analyze 13 documents with policies and usage guidelines for GenAI tools and conduct a developer survey to uncover the ethical, legal, and practical concerns behind them. Our findings reveal that developers actively manage how GenAI is used in their projects, highlighting the need for project-level transparency, attribution, and quality control practices in the new era of AI-assisted software development. Finally, we examine the longitudinal impact of GenAI adoption on code churn in 151 repositories with self-admitted GenAI usage and find no general increase, contradicting popular narratives on the impact of GenAI on software development.",,
131,A9N5BYY9,71,AI-powered code reviews: leveraging large language models,M. S. S. Chowdhury; M. N. U. R. Chowdhury; F. F. Neha et al.,2024,conferencePaper,ieee,no,10.1109/SPARC61891.2024.10829223,,"Directly examines LLM-assisted code review to handle growing volume, its limitations, and best practices for complementing human expertise.","As the complexity and volume of software development continue to grow, the need for efficient and thorough code review processes becomes increasingly critical. This paper explores the integration of Large Language Models (LLMs), such as ChatGPT and Bard, into code review workflows to enhance software quality and security. By leveraging the natural language processing capabilities of LLMs, we aim to streamline the identification of code issues, detect potential security vulnerabilities, and provide developers with actionable feedback. Through a comprehensive analysis of current literature, case studies, and experimental data, this study evaluates the impact of AI-assisted code reviews on developer productivity and code quality. We also address the challenges and limitations of relying on LLMs, including context comprehension and potential biases. Our findings suggest that while LLMs offer significant advantages in automating and improving code reviews, they should complement rather than replace human expertise. This paper provides insights into best practices for integrating LLMs into development workflows, ultimately contributing to more robust and secure software systems.",,
132,72W6R4JG,71,"Vibe-coding: feedback-based automated verification with no human code inspection, a feasibility study",Töpfer; Plášil; Bureš et al.,2026,preprint,arxiv,yes,,2604.14867,"Feasibility study of feedback-based automated verification replacing human code inspection, directly about scaling oversight of AI-generated code.","Vibe coding inherently assumes iterative refinement of LLM-generated code through feedback loops. While effective for conventional software tasks, its reliability in runtime-adaptive systems is unclear -- especially when generated code is not manually inspected. This paper studies feedback-based automated verification of LLM-generated adaptation managers in Collective Adaptive Systems (CAS). We focus on the key challenges of verification in the loop: how to detect failures of generated code at runtime and how to report them precisely enough for an LLM to fix them. We combine the adaptation loop with a vibe-coding feedback loop where correctness is checked against (i) generic architectural constraints and (ii) functional constraints formalized in Functional Constraints Logic (FCL), a novel first-order temporal logic over potentially finite traces. Conducting the Dragon Hunt CAS case study, we show that fine-grained constraint violations provide actionable feedback that typically yields a valid adaptation manager within a few iterations, while simple coarse metric-based feedback often stalls. Our findings suggest that feedback precision is the dominant factor for reliable vibe coding in systems designed by domain experts with no programming skills, thereby obviating the need for human code inspection.",,
133,6ABGGGRP,71,State of AI-assisted software development,DeBellis; Storer; Harvey et al.,2025,document,coursework,yes,,,Large-scale DORA empirical study on organizational systems and workflows governing AI-assisted development quality at scale.,"In 2025, the central question for technology leaders is no longer if they should adopt AI, but how to realize its value. DORA’s research includes more than 100 hours of qualitative data and survey responses from nearly 5,000 technology professionals from around the world.1 The research reveals a critical truth: AI’s primary role in software development is that of an amplifier. It magnifies the strengths of highperforming organizations and the dysfunctions of struggling ones.  Executive summary  The greatest returns on AI investment come not from the tools themselves, but from a strategic focus on the underlying organizational system: the quality of the internal platform, the clarity of workflows, and the alignment of teams. Without this foundation, AI creates localized pockets of  productivity that are often lost to downstream chaos.",,
